Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
018-2010,-7.05,-1.12,0.017,0.009,y,8/2/2010,2010,Patricia Elaine,,99,251.46,250-300,403,503.75,228.501,M,2,Y,Y,Broken tip,Whole,NA,0.17,NA,0.446,1.875,0.419,R
188-2010,-7.94,-1.24,0.019,0.034,y,9/12/2010,2010,Sea Dancer,,100,254,250-300,453,566.25,256.851,,2,Y,Y,Whole,Whole,0.2618,0.27,1.867,0.568,1.981,0.589,L
026-2010,-7.43,-1.37,0.014,0.015,y,8/1/2010,2010,Dixie Lynn,,100,254,250-300,454,567.5,257.418,M,2,Y,Y,Broken tip,Whole,NA,0.2058,NA,0.491,1.971,0.472,R
004-2010,-7.34,-0.84,0.02,0.044,y,7/23/2010,2010,Pauline and Patricia,,100,254,250-300,431,538.75,244.377,M,2,Y,Y,Whole,Whole,0.2405,0.2371,1.904,0.547,1.957,0.549,L
040-2010,-7.26,-0.96,0.026,0.049,y,8/5/2010,2010,First Lady,,100,254,250-300,426,532.5,241.542,,2,Y,Y,Broken tip,Whole,NA,0.22,1.84,0.544,1.958,0.549,L
205-2010,-7.64,-1.18,0.021,0.03,y,9/14/2010,2010,Sea Dancer,,101,256.54,250-300,394,492.5,223.398,,2,Y,Y,Whole,Whole,0.2034,0.2169,1.869,0.475,1.941,0.464,L
215-2010,-7.03,-0.86,0.033,0.026,y,9/19/2010,2010,Andy Baler,,101,256.54,250-300,433,541.25,245.511,,2,Y,Y,Whole,Whole,0.1995,0.1963,1.824,0.475,1.939,0.469,R
088-2010,-7,-1.19,0.021,0.028,y,8/19/2010,2010,Calculated Risk,,101,256.54,250-300,487,608.75,276.129,,2,Y,Y,Whole,Whole,0.1671,0.1723,1.864,0.451,1.745,0.477,R
329-2010,-7.49,-1.21,0.039,0.014,y,6/25/2010,2010,Big Fish David,,101.25,257.175,250-300,473,591.25,268.191,F,2,Y,Y,Whole,Whole,0.2769,0.2858,2.12,0.517,2.131,0.549,R
025-2010,-7.76,-0.85,0.029,0.049,y,8/1/2010,2010,Last One Too,,102,259.08,250-300,468,585,265.356,M,2,Y,Y,Whole,Whole,0.2427,0.2438,2.104,0.571,2.115,0.576,R
023-2010,-7.72,-1.67,0.025,0.021,y,8/1/2010,2010,Sarah Beth,,102,259.08,250-300,446,557.5,252.882,,2,Y,Y,Broken tip,Whole,NA,0.1786,NA,0.488,1.902,0.467,R
087-2010,-7.54,-1.41,0.016,0.033,y,8/18/2010,2010,Last One Too,,102,259.08,250-300,414,517.5,234.738,,2,Y,Y,Whole,Broken tip,0.2064,NA,1.953,0.515,1.915,0.492,R
019-2010,-7.54,-1.12,0.04,0.038,y,8/2/2010,2010,Dixie Lynn,,102,259.08,250-300,417,521.25,236.439,F,2,Y,Y,Broken tip,Whole,NA,0.2007,1.963,0.499,1.944,0.491,L
007-2010,-7.3,-1.15,0.017,0.043,y,7/26/2010,2010,Dixie Lynn,,102,259.08,250-300,422,527.5,239.274,,2,Y,Y,Whole,Whole,0.189,0.2016,1.837,0.488,1.944,0.512,L
027-2010,-8.14,-0.85,0.022,0.006,y,8/1/2010,2010,Patricia Elaine,,103,261.62,250-300,434,542.5,246.078,M,2,Y,Y,Whole,Whole,0.19,0.1882,1.813,0.493,1.859,0.499,L
191-2010,-7.64,-1.6,0.009,0.049,y,9/19/2010,2010,First Lady,,103,261.62,250-300,483,603.75,273.861,M,2,Y,Y,Whole,Whole,0.2191,0.2219,2.045,0.485,2.067,0.515,R
208-2010,-7.34,-1.23,0.045,0.083,y,9/12/2010,2010,Barbara O,,103,261.62,250-300,560,700,317.52,,2,Y,Y,Whole,Whole,0.2756,0.2676,2.163,0.611,2.144,0.576,L
305-2010,-7.83,-1.03,0.009,0.034,y,8/31/2010,2010,,,104,264.16,250-300,,,,M,2,Y,Y,Whole,Whole,0.2466,0.2356,1.947,0.544,1.893,0.507,L
005-2010,-7.79,-0.69,0.028,0.021,y,7/20/2010,2010,Pauline and Patricia,,104,264.16,250-300,416,520,235.872,,2,Y,Y,Whole,Broken tip (pieces included),0.1135,0.1118,1.611,0.419,NA,0.413,L
011-2010,-7.63,-1.16,0.005,0.037,y,7/27/2010,2010,No Excuse,,104,264.16,250-300,528,660,299.376,M,2,Y,Y,Whole,Broken tip,0.2432,NA,2.051,0.491,NA,0.515,L
098-2010,-7.03,-1.42,0.02,0.057,y,8/18/2010,2010,Ambush,,104,264.16,250-300,525,656.25,297.675,,2,Y,Y,Whole,Whole,0.2256,0.2195,1.835,0.477,1.837,0.517,R
206-2010,-6.94,-1.01,0.03,0.042,y,9/12/2010,2010,Sea Dancer,,104,264.16,250-300,474,592.5,268.758,,2,Y,Y,Whole,Whole,0.2187,0.223,1.92,0.499,1.914,0.52,R
163-2010,-6.7,-0.84,0.015,0.018,y,9/11/2010,2010,,,104,264.16,250-300,528,660,299.376,M,2,Y,Y,Whole,Whole,0.2484,0.2473,2.029,0.517,1.914,0.512,R
259-2010,-7.24,-1.2,0.045,0.089,y,10/24/2010,2010,Nantucket Fish,,105,266.7,250-300,623,778.75,353.241,,2,Y,Y,Whole,Whole,0.2732,0.2738,2.145,0.507,2.141,0.518,R
309-2010,-7.59,-0.9,0.02,0.045,y,9/1/2010,2010,,,106,269.24,250-300,,,,M,2,Y,Y,Broken tip,Whole,NA,0.2817,NA,0.579,2.123,0.531,R
024-2010,-7.36,-1.26,0.002,0.038,y,8/1/2010,2010,McNasty,,106,269.24,250-300,459,573.75,260.253,F,2,Y,Y,Whole,Broken tip,0.1992,NA,1.969,0.472,NA,0.496,L
020-2010,-7.66,-1.3,0.009,0.014,y,8/2/2010,2010,Working Girl,,108,274.32,250-300,452,565,256.284,M,2,Y,Y,Whole,Broken tip,0.2301,NA,1.915,0.528,NA,0.561,L
263-2010,-7.5,-0.88,0.007,0.048,y,10/20/2010,2010,Annie B,,112,284.48,250-300,607,758.75,344.169,,2,Y,Y,Whole,Whole,0.2242,0.2131,2.008,0.44,1.923,0.477,L
476-2011,-7.47,-0.87,0.014,0.032,y,7/15/2011,2011,,the Fingers,33,83.82,100-149,,,,M,1,N,Y,NA,Broken tip,NA,NA,NA,NA,NA,0.281,R
477-2011,-7.98,-0.71,0.003,0.014,y,7/15/2011,2011,,the Fingers,39,99.06,100-149,,,,F,2,Y,Y,Whole,Broken tip (piece included),0.0436,0.0426,1.151,0.3399,NA,0.3452,R
507-2011,-8.11,-0.56,0.021,0.05,y,7/29/2011,2011,Tammy Rose,Crab Ledge,42,106.68,100-149,,,,F,2,Y,Y,Broken tip (piece included),Broken tip,0.0451,NA,NA,0.3345,NA,0.3238,R
496-2011,-9.4,-0.78,0.057,0.086,y,7/28/2011,2011,,,43,109.22,100-149,,,,,2,Y,Y,Whole,Broken tip,0.054,NA,1.303,0.3666,NA,0.3773,L
520-2011,-7.97,-0.68,0.016,0.062,y,9/2/2011,2011,Tammy Rose,41 43.780; 069 33.600,44,111.76,100-149,,,,M,2,Y,Y,Whole,Whole,0.0492,0.05,1.271,0.3746,1.282,0.3666,R
509-2011,-7.5,-1.08,0.026,0.043,y,8/6/2011,2011,Tammy Rose,Crab Ledge,44,111.76,100-149,,,,,2,Y,Y,Whole,Whole,0.0403,0.04,1.164,0.3051,1.177,0.3131,R
268-2011,-7.86,-0.77,0.022,0.072,y,9/10/2011,2011,Waterboy,,45,114.3,100-149,,52,23.59,,1,Y,N,Whole,NA,0.0526,NA,1.279,0.3211,NA,NA,L
512-2011,-7.32,-1.06,0.039,0.043,y,8/17/2011,2011,Tammy Rose,BC buoy,45,114.3,100-149,,,,F,2,Y,Y,Broken tip (piece included),Whole,0.055,0.0547,NA,0.3586,1.191,0.3559,L
529-2011,-8.3,-0.75,0.008,0.023,y,9/18/2011,2011,Tuna Fever,41 41.400; 069 52.500,46,116.84,100-149,,,,M,2,Y,Y,Whole,Broken tip,0.048,NA,1.196,0.3292,NA,0.3238,R
521-2011,-7.95,-0.75,0.042,0.041,y,9/14/2011,2011,Tammy Rose,41 41.400; 069 49.400,46,116.84,100-149,,,,M,2,Y,Y,Whole,Whole,0.0403,0.0431,1.108,0.3185,1.127,0.3211,L
545-2011,-7.24,-1.21,0.003,0.017,y,10/3/2011,2011,Tammy Rose,41 28,46,116.84,100-149,,,,F,1,N,Y,NA,Broken tip,NA,NA,NA,NA,NA,0.3158,R
531-2011,-7.91,-0.63,0.026,0.01,y,9/24/2011,2011,Tuna Fever,41 41; 069 52,46.5,118.11,100-149,,,,,2,Y,Y,Whole,Whole,0.041,0.0428,1.132,0.3077,1.159,0.3104,L
274-2011,-7.82,-1.09,0.046,0.053,y,9/11/2011,2011,We're Hooked,,46.5,118.11,100-149,,58,26.31,,1,N,Y,NA,Broken tip,NA,NA,NA,NA,NA,0.3372,R
530-2011,-7.48,-1.17,0.036,0.036,y,9/23/2011,2011,Tammy Rose,41 41.500; 069 52.400,46.5,118.11,100-149,,,,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.3506,NA,0.3399,L
549-2011,-7.34,-1.2,0.018,0.013,y,10/9/2011,2011,Tammy Rose,41 09.778,47,119.38,100-149,,,,M,2,Y,Y,Whole,Broken tip,0.06,NA,1.322,0.3586,NA,0.3693,L
546-2011,-7.32,-1.26,0.009,0.024,y,10/4/2011,2011,Tammy Rose,41 28,47,119.38,100-149,,,,M,2,Y,Y,Broken tip,Whole,NA,0.0509,NA,0.38,1.293,0.3479,L
562-2011,-6.88,-1.16,0.029,0.031,y,10/11/2011,2011,Tammy Rose,41 16.800,48,121.92,100-149,,,,F,2,Y,Y,Whole,Whole,0.046,0.0451,1.153,0.3265,1.169,0.3399,L
544-2011,-7.7,-1.3,0.011,0.06,y,10/2/2011,2011,Tuna Fever,"41 42,150",49,124.46,100-149,,,,F,1,Y,N,Whole,NA,0.053,NA,1.319,0.3345,NA,NA,L
511-2011,-7.74,-0.81,0.053,0.063,y,8/11/2011,2011,,,52,132.08,100-149,,,,,1,Y,N,Broken tip,NA,NA,NA,NA,0.3987,NA,NA,L
510-2011,-7.88,-0.92,0.016,0.053,y,8/11/2011,2011,Tuna Fever,Crab Ledge,54,137.16,100-149,,,,F,2,Y,Y,Broken tip,Broken tip (piece included),NA,0.074,1.432,0.3987,NA,0.3907,R
494-2011,-7.53,-0.9,0.024,0.024,y,7/26/2011,2011,Tammy Rose,Crab Ledge,55,139.7,100-149,,,,F,1,Y,N,Whole,NA,0.0636,NA,1.226,0.3693,NA,NA,L
266-2011,-7.81,-0.64,0.014,0.026,y,9/10/2011,2011,Fatal Attraction,45 miles NE of ACK,55.5,140.97,100-149,,105,47.63,,1,N,Y,NA,Whole,NA,0.072,NA,NA,1.475,0.38,R
269-2011,-8.04,-0.53,0.022,0.048,y,9/10/2011,2011,Moonlighter,,56,142.24,100-149,,113.5,51.48,,1,Y,N,Broken tip,Broken tip,NA,NA,NA,0.3506,NA,NA,L
547-2011,-7.49,-1.24,0.02,0.065,y,10/7/2011,2011,Tammy Rose,41 09.778,56,142.24,100-149,,,,M,2,Y,Y,Whole,Whole,0.0481,0.048,1.21,0.3318,1.295,0.3265,R
270-2011,-7.83,-0.7,0.044,0.025,y,9/10/2011,2011,Starfish,,56.5,143.51,100-149,,123,55.79,,1,N,Y,NA,Whole,NA,0.0657,NA,NA,1.18,0.3479,R
505-2011,-8.57,-0.69,0.017,0.016,y,7/31/2011,2011,Tuna Fever,Crab Ledge,57,144.78,100-149,,,,,2,Y,Y,Broken tip,Broken tip (piece included),NA,0.076,1.41,0.3934,NA,0.3934,R
466-2011,-8.2,-0.47,0.011,0.028,y,7/6/2011,2011,,,57,144.78,100-149,,279,126.55,,2,Y,Y,Whole,Whole,0.074,0.075,1.354,0.3666,1.384,0.3666,L
497-2011,-7.59,-0.53,0.021,0.012,y,7/28/2011,2011,,,57,144.78,100-149,,,,,2,Y,Y,Whole,Broken tip,0.064,NA,1.378,0.3425,NA,0.3559,L
550-2011,-7.5,-0.84,0.02,0.026,y,10/9/2011,2011,Tammy Rose,41 09.778,57,144.78,100-149,,,,M,2,Y,Y,Broken tip (piece included),Whole,0.067,0.0633,NA,0.3639,1.322,0.3586,L
442-2011,-9.08,-0.75,0.023,0.026,y,7/5/2011,2011,,,58,147.32,100-149,,,,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.3693,NA,0.3666,L
443-2011,-9.05,-0.88,0.012,0.026,y,7/5/2011,2011,,,58,147.32,100-149,,,,,2,Y,Y,Broken tip,Whole,NA,0.082,1.234,0.4228,1.389,0.4308,R
465-2011,-8.38,-0.88,0.021,0.026,y,7/6/2011,2011,,,58,147.32,100-149,,,,M,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.3613,NA,0.3613,L
